"","x"
"1447","0"
"1448","3"
"1449","1"
"1450","0"
"1451","1"
"1452","4"
"1453","0"
"1454","1"
"1455","4"
"1456","0"
"1457","0"
"1458","4"
"1459","1"
"1460","0"
"1461","0"
"1462","0"
"1463","3"
"1464","0"
"1465","4"
"1466","0"
"1467","0"
"1468","1"
"1469","1"
"1470","0"
"1471","0"
"1472","1"
"1473","0"
"1474","1"
"1475","2"
"1476","1"
"1477","0"
"1478","0"
"1479","1"
"1480","1"
"1481","2"
"1482","0"
"1483","2"
"1484","1"
"1485","1"
"1486","1"
"1487","1"
"1488","1"
"1489","2"
"1490","0"
"1491","0"
"1492","1"
"1493","2"
"1494","3"
"1495","0"
"1496","3"
"1497","1"
"1498","4"
"1499","2"
"1500","1"
"1501","0"
"1502","1"
"1503","0"
"1504","2"
"1505","4"
"1506","0"
"1507","1"
"1508","0"
"1509","1"
"1510","2"
"1511","0"
"1512","1"
"1513","1"
"1514","1"
"1515","1"
"1516","0"
"1517","0"
"1518","0"
"1519","1"
"1520","0"
"1521","1"
"1522","1"
"1523","0"
"1524","1"
"1525","3"
"1526","0"
"1527","0"
"1528","3"
"1529","2"
"1530","1"
"1531","4"
"1532","1"
"1533","3"
"1534","4"
"1535","4"
"1536","3"
"1537","4"
"1538","0"
"1539","1"
"1540","0"
"1541","1"
"1542","0"
"1543","0"
"1544","1"
"1545","0"
"1546","2"
"1547","0"
"1548","1"
"1549","1"
"1550","0"
"1551","1"
"1552","0"
"1553","1"
"1554","0"
"1555","0"
"1556","4"
"1557","0"
"1558","0"
"1559","2"
"1560","4"
"1561","4"
"1562","1"
"1563","0"
"1564","0"
"1565","0"
"1566","0"
"1567","1"
"1568","3"
"1569","0"
"1570","1"
"1571","0"
"1572","0"
"1573","3"
"1574","1"
"1575","3"
"1576","3"
"1577","0"
"1578","2"
"1579","0"
"1580","2"
"1581","1"
"1582","0"
"1583","2"
"1584","0"
"1585","0"
"1586","0"
"1587","2"
"1588","0"
"1589","0"
"1590","1"
"1591","1"
"1592","0"
"1593","0"
"1594","2"
"1595","0"
"1596","3"
"1597","1"
"1598","4"
"1599","0"
"1600","4"
"1601","0"
"1602","1"
"1603","0"
"1604","0"
"1605","3"
"1606","2"
"1607","0"
"1608","0"
"1609","0"
"1610","0"
"1611","1"
"1612","1"
"1613","0"
"1614","2"
"1615","3"
"1616","0"
"1617","0"
"1618","0"
"1619","1"
"1620","1"
"1621","2"
"1622","0"
"1623","0"
"1624","2"
"1625","4"
"1626","0"
"1627","0"
"1628","0"
"1629","0"
"1630","0"
"1631","2"
"1632","1"
"1633","0"
"1634","2"
"1635","0"
"1636","1"
"1637","0"
"1638","1"
"1639","1"
"1640","1"
"1641","0"
"1642","1"
"1643","1"
"1644","4"
"1645","2"
"1646","0"
"1647","0"
"1648","3"
"1649","2"
"1650","1"
"1651","1"
"1652","0"
"1653","1"
"1654","3"
"1655","4"
"1656","0"
"1657","2"
"1658","0"
"1659","3"
"1660","2"
"1661","0"
"1662","1"
"1663","2"
"1664","3"
"1665","0"
"1666","2"
"1667","0"
"1668","0"
"1669","0"
"1670","0"
"1671","4"
"1672","1"
"1673","1"
"1674","0"
"1675","0"
"1676","0"
"1677","2"
"1678","1"
"1679","0"
"1680","1"
"1681","0"
"1682","1"
"1683","0"
"1684","2"
"1685","0"
"1686","4"
"1687","3"
"1688","0"
"1689","0"
"1690","0"
"1691","0"
"1692","1"
"1693","0"
"1694","3"
"1695","0"
"1696","1"
"1697","0"
"1698","2"
"1699","0"
"1700","0"
"1701","0"
"1702","1"
"1703","1"
"1704","0"
"1705","0"
"1706","4"
"1707","3"
"1708","1"
"1709","0"
"1710","1"
"1711","4"
"1712","1"
"1713","4"
"1714","0"
"1715","1"
"1716","0"
"1717","2"
"1718","2"
"1719","1"
"1720","0"
"1721","1"
"1722","2"
"1723","0"
"1724","0"
"1725","0"
"1726","1"
"1727","1"
"1728","2"
"1729","0"
"1730","0"
"1731","1"
"1732","1"
"1733","0"
"1734","1"
"1735","1"
"1736","1"
"1737","0"
"1738","3"
