cell    bio_celltype
Cell1360	mDCs B
Cell1361	Cancer clone A
Cell1362	Ductal - APOL high/hypoxic
Cell1363	Ductal - APOL high/hypoxic
Cell1364	Ductal - APOL high/hypoxic
Cell1365	Ductal - APOL high/hypoxic
Cell1366	RBCs
Cell1367	Ductal - APOL high/hypoxic
Cell1368	Ductal - CRISP3 high/centroacinar like
Cell1369	Ductal - CRISP3 high/centroacinar like
Cell137	Ductal - CRISP3 high/centroacinar like
Cell1370	RBCs
Cell1371	RBCs
Cell1372	Ductal - terminal ductal like
Cell1373	Ductal - terminal ductal like
Cell1374	Ductal - CRISP3 high/centroacinar like
Cell1375	Ductal - terminal ductal like
Cell1376	Cancer clone B
Cell1377	Ductal - terminal ductal like
Cell1378	Acinar cells
Cell1379	Ductal - APOL high/hypoxic
Cell138	Mast cells
Cell1380	Cancer clone A
Cell1381	Ductal - MHC Class II
Cell1382	Ductal - MHC Class II
Cell1383	Ductal - CRISP3 high/centroacinar like
Cell1384	Cancer clone B
Cell1385	Ductal - terminal ductal like
Cell1386	Ductal - CRISP3 high/centroacinar like
Cell1387	Ductal - MHC Class II
Cell1388	Ductal - terminal ductal like
Cell1389	Ductal - APOL high/hypoxic
Cell139	Ductal - CRISP3 high/centroacinar like
Cell1390	Ductal - terminal ductal like
Cell1391	Cancer clone B
Cell1392	Ductal - MHC Class II
Cell1393	Cancer clone A
Cell1394	Cancer clone A
Cell1395	Cancer clone A
Cell1396	Ductal - CRISP3 high/centroacinar like
Cell1397	Cancer clone A
Cell1398	Ductal - CRISP3 high/centroacinar like
Cell1399	Ductal - MHC Class II
Cell14	Ductal - CRISP3 high/centroacinar like
Cell140	Ductal - CRISP3 high/centroacinar like
Cell1400	Ductal - CRISP3 high/centroacinar like
Cell1401	Ductal - terminal ductal like
Cell1402	Cancer clone B
Cell1403	Ductal - CRISP3 high/centroacinar like
Cell1404	Ductal - terminal ductal like
Cell1405	Ductal - CRISP3 high/centroacinar like
Cell1406	Ductal - CRISP3 high/centroacinar like
Cell1407	Ductal - CRISP3 high/centroacinar like
Cell1408	Ductal - terminal ductal like
Cell1409	Ductal - CRISP3 high/centroacinar like
Cell141	Ductal - CRISP3 high/centroacinar like
Cell1410	Cancer clone B
Cell1411	Ductal - terminal ductal like
Cell1412	Ductal - CRISP3 high/centroacinar like
Cell1413	Ductal - CRISP3 high/centroacinar like
Cell1414	Ductal - terminal ductal like
Cell1415	Ductal - MHC Class II
Cell1416	Ductal - APOL high/hypoxic
Cell1417	Ductal - MHC Class II
Cell1418	Ductal - terminal ductal like
Cell1419	Cancer clone A
Cell142	Ductal - terminal ductal like
Cell1420	Ductal - CRISP3 high/centroacinar like
Cell1421	Ductal - CRISP3 high/centroacinar like
Cell1422	Ductal - terminal ductal like
Cell1423	Ductal - CRISP3 high/centroacinar like
Cell1424	Cancer clone B
Cell1425	Ductal - terminal ductal like
Cell1426	mDCs A
Cell1427	Ductal - MHC Class II
Cell1428	Ductal - CRISP3 high/centroacinar like
Cell1429	Ductal - terminal ductal like
Cell143	Ductal - terminal ductal like
Cell1430	Ductal - terminal ductal like
Cell1431	Ductal - MHC Class II
Cell1432	mDCs B
Cell1433	Cancer clone B
Cell1434	Ductal - terminal ductal like
Cell1435	Ductal - CRISP3 high/centroacinar like
Cell1436	Ductal - CRISP3 high/centroacinar like
Cell1437	Acinar cells
Cell1438	Ductal - CRISP3 high/centroacinar like
Cell1439	Endothelial cells
Cell144	Ductal - APOL high/hypoxic
Cell1440	Ductal - CRISP3 high/centroacinar like
Cell1441	Ductal - APOL high/hypoxic
Cell1442	Cancer clone B
Cell1443	Ductal - terminal ductal like
Cell1444	Ductal - CRISP3 high/centroacinar like
Cell1445	mDCs B
Cell1446	Ductal - CRISP3 high/centroacinar like
Cell1447	Ductal - terminal ductal like
Cell1448	Ductal - terminal ductal like
Cell1449	Ductal - CRISP3 high/centroacinar like
Cell145	Cancer clone A
Cell1450	RBCs
Cell1451	Ductal - CRISP3 high/centroacinar like
Cell1452	Ductal - CRISP3 high/centroacinar like
Cell1453	Ductal - terminal ductal like
Cell1454	Ductal - APOL high/hypoxic
Cell1455	Ductal - CRISP3 high/centroacinar like
Cell1456	Cancer clone B
Cell1457	Cancer clone B
Cell1458	Ductal - terminal ductal like
Cell1459	Ductal - CRISP3 high/centroacinar like
Cell146	Ductal - CRISP3 high/centroacinar like
Cell1460	Ductal - CRISP3 high/centroacinar like
Cell1461	Ductal - MHC Class II
Cell1462	Ductal - CRISP3 high/centroacinar like
Cell1463	Ductal - MHC Class II
Cell1464	Cancer clone B
Cell1465	Mast cells
Cell1466	Ductal - terminal ductal like
Cell1467	Ductal - CRISP3 high/centroacinar like
Cell1468	Ductal - terminal ductal like
Cell1469	Ductal - APOL high/hypoxic
Cell147	Ductal - CRISP3 high/centroacinar like
Cell1470	Cancer clone A
Cell1471	Ductal - terminal ductal like
Cell1472	mDCs B
Cell1473	Endothelial cells
Cell1474	Cancer clone B
Cell1475	mDCs B
Cell1476	Ductal - APOL high/hypoxic
Cell1477	Ductal - CRISP3 high/centroacinar like
Cell1478	Ductal - terminal ductal like
Cell1479	Ductal - CRISP3 high/centroacinar like
Cell148	Ductal - CRISP3 high/centroacinar like
Cell1480	Ductal - CRISP3 high/centroacinar like
Cell1481	Ductal - terminal ductal like
Cell1482	Ductal - terminal ductal like
Cell1483	Ductal - MHC Class II
Cell1484	Ductal - terminal ductal like
Cell1485	Mast cells
Cell1486	Ductal - CRISP3 high/centroacinar like
Cell1487	Ductal - terminal ductal like
Cell1488	Ductal - MHC Class II
Cell1489	Ductal - CRISP3 high/centroacinar like
Cell149	Ductal - CRISP3 high/centroacinar like
Cell1490	Ductal - CRISP3 high/centroacinar like
Cell1491	Ductal - CRISP3 high/centroacinar like
Cell1492	Ductal - terminal ductal like
Cell1493	Ductal - MHC Class II
Cell1494	Ductal - APOL high/hypoxic
Cell1495	Ductal - CRISP3 high/centroacinar like
Cell1496	Ductal - CRISP3 high/centroacinar like
Cell1497	Cancer clone A
Cell1498	Ductal - APOL high/hypoxic
Cell1499	Ductal - CRISP3 high/centroacinar like
Cell15	Ductal - terminal ductal like
Cell150	Ductal - terminal ductal like
Cell1500	Ductal - CRISP3 high/centroacinar like
Cell1501	Cancer clone A
Cell1502	Cancer clone B
Cell1503	Ductal - terminal ductal like
Cell1504	Ductal - terminal ductal like
Cell1505	Ductal - MHC Class II
Cell1506	Ductal - APOL high/hypoxic
Cell1507	Ductal - terminal ductal like
Cell1508	Ductal - terminal ductal like
Cell1509	Ductal - CRISP3 high/centroacinar like
Cell151	Cancer clone B
Cell1510	Ductal - terminal ductal like
Cell1511	Cancer clone B
Cell1512	mDCs B
Cell1513	Acinar cells
Cell1514	Ductal - CRISP3 high/centroacinar like
Cell1515	Ductal - terminal ductal like
Cell1516	Cancer clone B
Cell1517	Ductal - MHC Class II
Cell1518	Ductal - APOL high/hypoxic
Cell1519	Ductal - MHC Class II
Cell152	Ductal - CRISP3 high/centroacinar like
Cell1520	Ductal - CRISP3 high/centroacinar like
Cell1521	Ductal - MHC Class II
Cell1522	Ductal - MHC Class II
Cell1523	Ductal - CRISP3 high/centroacinar like
Cell1524	Ductal - MHC Class II
Cell1525	Ductal - CRISP3 high/centroacinar like
Cell1526	Ductal - CRISP3 high/centroacinar like
Cell1527	Ductal - MHC Class II
Cell1528	mDCs B
Cell1529	Ductal - terminal ductal like
Cell153	Ductal - MHC Class II
Cell1530	Ductal - terminal ductal like
Cell1531	Fibroblasts
Cell1532	Ductal - terminal ductal like
Cell1533	Ductal - terminal ductal like
Cell1534	Ductal - MHC Class II
Cell1535	Cancer clone B
Cell1536	Ductal - CRISP3 high/centroacinar like
Cell1537	Ductal - APOL high/hypoxic
Cell1538	T cells & NK cells
Cell1539	Ductal - CRISP3 high/centroacinar like
Cell154	Mast cells
Cell1540	Ductal - terminal ductal like
Cell1541	Ductal - CRISP3 high/centroacinar like
Cell1542	Ductal - MHC Class II
Cell1543	Ductal - APOL high/hypoxic
Cell1544	Ductal - terminal ductal like
Cell1545	Ductal - terminal ductal like
